timestamp,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH),newtimestamp
,,,,,05/07/19 0:00
,,,,,05/07/19 0:05
,,,,,05/07/19 0:10
,,,,,05/07/19 0:15
,,,,,05/07/19 0:20
,,,,,05/07/19 0:25
,,,,,05/07/19 0:30
,,,,,05/07/19 0:35
,,,,,05/07/19 0:40
,,,,,05/07/19 0:45
,,,,,05/07/19 0:50
,,,,,05/07/19 0:55
,,,,,05/07/19 1:00
,,,,,05/07/19 1:05
,,,,,05/07/19 1:10
,,,,,05/07/19 1:15
,,,,,05/07/19 1:20
,,,,,05/07/19 1:25
,,,,,05/07/19 1:30
,,,,,05/07/19 1:35
,,,,,05/07/19 1:40
,,,,,05/07/19 1:45
,,,,,05/07/19 1:50
,,,,,05/07/19 1:55
,,,,,05/07/19 2:00
,,,,,05/07/19 2:05
,,,,,05/07/19 2:10
,,,,,05/07/19 2:15
,,,,,05/07/19 2:20
,,,,,05/07/19 2:25
,,,,,05/07/19 2:30
,,,,,05/07/19 2:35
,,,,,05/07/19 2:40
,,,,,05/07/19 2:45
,,,,,05/07/19 2:50
,,,,,05/07/19 2:55
,,,,,05/07/19 3:00
,,,,,05/07/19 3:05
,,,,,05/07/19 3:10
,,,,,05/07/19 3:15
,,,,,05/07/19 3:20
,,,,,05/07/19 3:25
,,,,,05/07/19 3:30
,,,,,05/07/19 3:35
,,,,,05/07/19 3:40
,,,,,05/07/19 3:45
,,,,,05/07/19 3:50
,,,,,05/07/19 3:55
,,,,,05/07/19 4:00
,,,,,05/07/19 4:05
,,,,,05/07/19 4:10
,,,,,05/07/19 4:15
,,,,,05/07/19 4:20
,,,,,05/07/19 4:25
,,,,,05/07/19 4:30
,,,,,05/07/19 4:35
,,,,,05/07/19 4:40
,,,,,05/07/19 4:45
,,,,,05/07/19 4:50
,,,,,05/07/19 4:55
,,,,,05/07/19 5:00
,,,,,05/07/19 5:05
,,,,,05/07/19 5:10
,,,,,05/07/19 5:15
,,,,,05/07/19 5:20
,,,,,05/07/19 5:25
,,,,,05/07/19 5:30
,,,,,05/07/19 5:35
,,,,,05/07/19 5:40
,,,,,05/07/19 5:45
,,,,,05/07/19 5:50
,,,,,05/07/19 5:55
,,,,,05/07/19 6:00
,,,,,05/07/19 6:05
,,,,,05/07/19 6:10
,,,,,05/07/19 6:15
,,,,,05/07/19 6:20
,,,,,05/07/19 6:25
,,,,,05/07/19 6:30
,,,,,05/07/19 6:35
,,,,,05/07/19 6:40
,,,,,05/07/19 6:45
,,,,,05/07/19 6:50
,,,,,05/07/19 6:55
,,,,,05/07/19 7:00
,,,,,05/07/19 7:05
,,,,,05/07/19 7:10
,,,,,05/07/19 7:15
,,,,,05/07/19 7:20
,,,,,05/07/19 7:25
,,,,,05/07/19 7:30
,,,,,05/07/19 7:35
,,,,,05/07/19 7:40
,,,,,05/07/19 7:45
,,,,,05/07/19 7:50
,,,,,05/07/19 7:55
,,,,,05/07/19 8:00
,,,,,05/07/19 8:05
,,,,,05/07/19 8:10
,,,,,05/07/19 8:15
,,,,,05/07/19 8:20
,,,,,05/07/19 8:25
,,,,,05/07/19 8:30
,,,,,05/07/19 8:35
,,,,,05/07/19 8:40
,,,,,05/07/19 8:45
,,,,,05/07/19 8:50
,,,,,05/07/19 8:55
,,,,,05/07/19 9:00
,,,,,05/07/19 9:05
,,,,,05/07/19 9:10
,,,,,05/07/19 9:15
,,,,,05/07/19 9:20
,,,,,05/07/19 9:25
,,,,,05/07/19 9:30
,,,,,05/07/19 9:35
,,,,,05/07/19 9:40
,,,,,05/07/19 9:45
,,,,,05/07/19 9:50
,,,,,05/07/19 9:55
,,,,,05/07/19 10:00
,,,,,05/07/19 10:05
,,,,,05/07/19 10:10
,,,,,05/07/19 10:15
,,,,,05/07/19 10:20
,,,,,05/07/19 10:25
,,,,,05/07/19 10:30
,,,,,05/07/19 10:35
,,,,,05/07/19 10:40
,,,,,05/07/19 10:45
,,,,,05/07/19 10:50
,,,,,05/07/19 10:55
,,,,,05/07/19 11:00
,,,,,05/07/19 11:05
,,,,,05/07/19 11:10
,,,,,05/07/19 11:15
,,,,,05/07/19 11:20
,,,,,05/07/19 11:25
,,,,,05/07/19 11:30
,,,,,05/07/19 11:35
,,,,,05/07/19 11:40
,,,,,05/07/19 11:45
,,,,,05/07/19 11:50
,,,,,05/07/19 11:55
,,,,,05/07/19 12:00
,,,,,05/07/19 12:05
,,,,,05/07/19 12:10
,,,,,05/07/19 12:15
,,,,,05/07/19 12:20
,,,,,05/07/19 12:25
,,,,,05/07/19 12:30
,,,,,05/07/19 12:35
,,,,,05/07/19 12:40
,,,,,05/07/19 12:45
,,,,,05/07/19 12:50
,,,,,05/07/19 12:55
,,,,,05/07/19 13:00
,,,,,05/07/19 13:05
,,,,,05/07/19 13:10
,,,,,05/07/19 13:15
,,,,,05/07/19 13:20
,,,,,05/07/19 13:25
,,,,,05/07/19 13:30
,,,,,05/07/19 13:35
,,,,,05/07/19 13:40
,,,,,05/07/19 13:45
,,,,,05/07/19 13:50
,,,,,05/07/19 13:55
,,,,,05/07/19 14:00
,,,,,05/07/19 14:05
,,,,,05/07/19 14:10
,,,,,05/07/19 14:15
,,,,,05/07/19 14:20
,,,,,05/07/19 14:25
,,,,,05/07/19 14:30
,,,,,05/07/19 14:35
,,,,,05/07/19 14:40
,,,,,05/07/19 14:45
,,,,,05/07/19 14:50
,,,,,05/07/19 14:55
,,,,,05/07/19 15:00
,,,,,05/07/19 15:05
,,,,,05/07/19 15:10
,,,,,05/07/19 15:15
,,,,,05/07/19 15:20
,,,,,05/07/19 15:25
,,,,,05/07/19 15:30
,,,,,05/07/19 15:35
,,,,,05/07/19 15:40
,,,,,05/07/19 15:45
,,,,,05/07/19 15:50
,,,,,05/07/19 15:55
,,,,,05/07/19 16:00
,,,,,05/07/19 16:05
,,,,,05/07/19 16:10
,,,,,05/07/19 16:15
,,,,,05/07/19 16:20
,,,,,05/07/19 16:25
,,,,,05/07/19 16:30
,,,,,05/07/19 16:35
,,,,,05/07/19 16:40
,,,,,05/07/19 16:45
,,,,,05/07/19 16:50
,,,,,05/07/19 16:55
05/07/19 17:00,42,39,42,39,05/07/19 17:00
05/07/19 17:06,42,39,42,39,05/07/19 17:05
05/07/19 17:11,42,39,63,26,05/07/19 17:10
05/07/19 17:16,41,40,63,26,05/07/19 17:15
05/07/19 17:21,41,40,91,18,05/07/19 17:20
05/07/19 17:26,41,40,41,40,05/07/19 17:25
31:03.8,41,40,55,30,05/07/19 17:30
36:04.7,42,39,66,25,05/07/19 17:35
41:05.9,41,40,63,26,05/07/19 17:40
46:06.7,41,40,41,40,05/07/19 17:45
51:07.7,41,40,68,24,05/07/19 17:50
56:08.8,42,39,71,23,05/07/19 17:55
01:09.5,41,40,75,22,05/07/19 18:00
06:10.4,41,40,55,30,05/07/19 18:05
11:11.6,42,39,71,23,05/07/19 18:10
16:12.3,41,40,75,22,05/07/19 18:15
21:13.2,41,40,78,21,05/07/19 18:20
26:14.4,41,40,97,17,05/07/19 18:25
31:15.3,43,38,127,13,05/07/19 18:30
36:16.2,42,39,110,15,05/07/19 18:35
41:17.3,42,39,97,17,05/07/19 18:40
46:18.2,42,39,103,16,05/07/19 18:45
51:19.3,42,39,97,17,05/07/19 18:50
56:20.3,41,40,78,21,05/07/19 18:55
01:21.2,42,39,71,23,05/07/19 19:00
06:22.3,41,40,82,20,05/07/19 19:05
